State,Total Area (km2),Land (km2),waterways (km2)
Alaska,1723337.0,1477953.0,245384.0
Texas,695662.0,676587.0,19075.0
California,423967.0,403466.0,20501.0
Montana,380831.0,376962.0,3869.0
New Mexico,314917.0,314161.0,757.0
Arizona,295234.0,294207.0,1026.0
Nevada,286380.0,284332.0,2048.0
Colorado,269601.0,268431.0,1170.0
Oregon,254799.0,248608.0,6191.0
Wyoming,253335.0,251470.0,1864.0
Michigan,250487.0,146435.0,104052.0
Minnesota,225163.0,206232.0,18930.0
Utah,219882.0,212818.0,7064.0
Idaho,216443.0,214045.0,2398.0
Kansas,213100.0,211754.0,1346.0
Nebraska,200330.0,198974.0,1356.0
South Dakota,199729.0,196350.0,3379.0
Washington,184661.0,172119.0,12542.0
North Dakota,183108.0,178711.0,4397.0
Oklahoma,181037.0,177660.0,3377.0
Missouri,180540.0,178040.0,2501.0
Florida,170312.0,138887.0,31424.0
Wisconsin,169635.0,140268.0,29367.0
Georgia,153910.0,148959.0,4951.0
Illinois,149995.0,143793.0,6202.0
Iowa,145746.0,144669.0,1077.0
New York,141297.0,122057.0,19240.0
North Carolina,139391.0,125920.0,13471.0
Arkansas,137732.0,134771.0,2961.0
Alabama,135767.0,131171.0,4597.0
Louisiana,135659.0,111898.0,23761.0
Mississippi,125438.0,121531.0,3907.0
Pennsylvania,119280.0,115883.0,3397.0
Ohio,116098.0,105829.0,10269.0
Virginia,110787.0,102279.0,8508.0
Tennessee,109153.0,106798.0,2355.0
Kentucky,104656.0,102269.0,2387.0
Indiana,94326.0,92789.0,1537.0
Maine,91633.0,79883.0,11750.0
South Carolina,82933.0,77857.0,5076.0
West Virginia,62756.0,62259.0,497.0
Maryland,32131.0,25142.0,6990.0
Hawaii,28313.0,16635.0,11678.0
Massachusetts,27336.0,20202.0,7134.0
Vermont,24906.0,23871.0,1035.0
New Hampshire,24214.0,23187.0,1027.0
New Jersey,22591.0,19047.0,3544.0
Connecticut,14357.0,12542.0,1816.0
Delaware,6446.0,5047.0,1399.0
Rhode Island,4001.0,2678.0,1324.0
